Category,Requirement,Body,Reference
Consumer Rights,Right to Know,"Businesses must disclose the categories and specific pieces of personal information collected about consumers, the sources of that information, the business purposes for collecting or selling it, and the categories of third parties with whom the information is shared.",CCPA Section 1798.100
Consumer Rights,Right to Delete,"Consumers have the right to request deletion of their personal information, subject to certain exceptions. Businesses must delete information from their records and direct service providers to delete the information.",CCPA Section 1798.105
Consumer Rights,Right to Opt-Out,"Consumers have the right to opt-out of the sale or sharing of their personal information. Businesses must provide a clear and conspicuous link on their homepage titled 'Do Not Sell or Share My Personal Information'.",CCPA Section 1798.120
Consumer Rights,Right to Correct,"Consumers have the right to correct inaccurate personal information that a business maintains about them, taking into account the nature of the personal information and the purposes of the processing.",CPRA Section 1798.106
Consumer Rights,Right to Limit Use of Sensitive Personal Information,"Consumers have the right to limit the use and disclosure of sensitive personal information to only what is necessary to perform services or provide goods reasonably expected by the consumer.",CPRA Section 1798.121
Notice Requirements,Privacy Policy - Collection Disclosure,"Privacy policies must describe the categories of personal information collected and the purposes for which the categories are used. This must be updated at least once every 12 months.",CCPA Section 1798.130(a)(5)
Notice Requirements,Privacy Policy - Sharing and Selling,"Privacy policies must disclose whether the business sells or shares personal information and provide a separate link titled 'Do Not Sell or Share My Personal Information' on the homepage if applicable.",CCPA Section 1798.130(a)(5)(C)
Notice Requirements,Notice at Collection,"Businesses must provide notice at or before the point of collection informing consumers of the categories of personal information to be collected and the purposes for which the categories will be used.",CCPA Section 1798.100(b)
Notice Requirements,Right to Opt-Out Notice,"If a business sells or shares personal information, it must provide notice to consumers of their right to opt-out and include a link on the homepage titled 'Do Not Sell or Share My Personal Information'.",CCPA Section 1798.135(a)(1)
Notice Requirements,Financial Incentives Notice,"If offering financial incentives in exchange for personal information, businesses must provide notice of the material terms of the financial incentive program and how the value of personal information is calculated.",CCPA Section 1798.125(b)(1)
Data Practices,Data Minimization,"Businesses must limit collection, use, retention, and sharing of personal information to what is reasonably necessary and proportionate to achieve the purposes for which it was collected or processed.",CPRA Section 1798.100(c)
Data Practices,Purpose Limitation,"Personal information collected for disclosed purposes shall not be further collected, used, or disclosed for incompatible purposes unless notice is provided to the consumer.",CPRA Section 1798.100(c)
Data Practices,Storage Limitation,"Businesses shall not retain personal information for each disclosed purpose for which the personal information was collected for longer than is reasonably necessary for that purpose.",CPRA Section 1798.105(d)
Data Practices,Sensitive Personal Information Handling,"Sensitive personal information includes Social Security numbers, driver's license numbers, account credentials, precise geolocation, racial/ethnic origin, religious beliefs, health data, sex life/orientation, and genetic data. Special handling and opt-out rights apply.",CPRA Section 1798.140(ae)
Security Requirements,Reasonable Security Procedures,"Businesses must implement and maintain reasonable security procedures and practices appropriate to the nature of the personal information to protect it from unauthorized access, destruction, use, modification, or disclosure.",CCPA Section 1798.81.5
