Category,Requirement,Body,Reference
Govern - Policy,Organizational Cybersecurity Policy,Organizational cybersecurity policy is established and communicated to all stakeholders,GV.PO-01
Govern - Policy,Policy Roles and Responsibilities,Roles and responsibilities for cybersecurity are established and communicated across the organization,GV.PO-02
Govern - Policy,Policy Review and Updates,Policy is reviewed and updated at defined intervals or when significant changes occur,GV.PO-03
Govern - Risk Management,Risk Management Processes,Risk management processes are established and managed across the organization,GV.RM-01
Govern - Risk Management,Risk Appetite and Tolerance,Risk appetite and risk tolerance are established and communicated throughout the organization,GV.RM-02
Govern - Risk Management,Risk Assessment Framework,The organization establishes and maintains a risk assessment framework,GV.RM-03
Govern - Oversight,Cybersecurity Oversight,The Board of Directors and executive leadership provide oversight of cybersecurity risk,GV.OV-01
Govern - Oversight,Cybersecurity Accountability,Cybersecurity roles and responsibilities are coordinated and aligned with internal and external stakeholders,GV.OV-02
Govern - Oversight,Cybersecurity Performance,Organizational cybersecurity performance is measured and reviewed,GV.OV-03
Govern - Supply Chain,Supply Chain Risk Management,Cybersecurity supply chain risk management processes are identified and established,GV.SC-01
Govern - Supply Chain,Supplier Assessment,Suppliers and third-party partners are assessed using organizational cybersecurity requirements,GV.SC-02
Govern - Supply Chain,Contracts with Suppliers,Contracts with suppliers include provisions to manage cybersecurity risks,GV.SC-03
Identify - Asset Management,Physical Devices Inventory,Physical devices and systems within the organization are inventoried and maintained,ID.AM-01
Identify - Asset Management,Software Platforms Inventory,Software platforms and applications within the organization are inventoried and maintained,ID.AM-02
Identify - Asset Management,Network Resources Inventory,Organizational communication and data flows are mapped and maintained,ID.AM-03
Identify - Asset Management,External Systems Inventory,External information systems are catalogued and managed,ID.AM-04
Identify - Asset Management,Asset Priority,Resources (systems and devices) are prioritized based on their classification and business criticality,ID.AM-05
Identify - Asset Management,Cybersecurity Roles,Cybersecurity roles and responsibilities for the entire workforce are established,ID.AM-06
Identify - Risk Assessment,Vulnerability Identification,Vulnerabilities in assets are identified documented and managed,ID.RA-01
Identify - Risk Assessment,Cyber Threat Intelligence,Cyber threat intelligence is received from information sharing forums and sources,ID.RA-02
Identify - Risk Assessment,Internal and External Threats,Internal and external threats to the organization are identified and documented,ID.RA-03
Identify - Risk Assessment,Business Impact Analysis,Potential business impacts and likelihoods are identified and documented,ID.RA-04
Identify - Risk Assessment,Risk Response,Threats vulnerabilities likelihoods and impacts are used to determine and prioritize risk,ID.RA-05
Identify - Risk Assessment,Risk Assessment Updates,Risk assessments are performed on a regular basis and when significant changes occur,ID.RA-06
Identify - Governance,Mission Objectives,The organization's role in the supply chain is identified and communicated,ID.GV-01
Identify - Governance,Legal and Regulatory Requirements,Legal regulatory and contractual requirements regarding cybersecurity are understood and managed,ID.GV-02
Identify - Governance,Risk Management Strategy,Risk management strategy is informed by a comprehensive understanding of organizational risk tolerance,ID.GV-03
Identify - Governance,Governance and Risk Roles,Governance and risk management processes address cybersecurity risks,ID.GV-04
Protect - Identity Management,Identity Management,Physical and logical access to assets is managed based on risk and business requirements,PR.AA-01
Protect - Identity Management,Multi-Factor Authentication,Multi-factor authentication is used for access to systems and data,PR.AA-02
Protect - Identity Management,Remote Access,Remote access is managed and monitored,PR.AA-03
Protect - Identity Management,Access Permissions,Access permissions and authorizations are managed incorporating least privilege,PR.AA-04
Protect - Identity Management,Network Integrity,Network integrity is protected through network segregation and other techniques,PR.AA-05
Protect - Identity Management,Physical Access Control,Physical access to assets is managed and protected,PR.AA-06
Protect - Awareness and Training,Cybersecurity Training,All users are informed and trained on their cybersecurity roles and responsibilities,PR.AT-01
Protect - Awareness and Training,Privileged Users Training,Privileged users understand their roles and responsibilities,PR.AT-02
Protect - Awareness and Training,Third-Party Training,Third-party stakeholders understand their roles and responsibilities,PR.AT-03
Protect - Awareness and Training,Senior Executives Training,Senior executives understand their roles and responsibilities,PR.AT-04
Protect - Awareness and Training,Security Awareness,Physical and cybersecurity personnel understand their roles and responsibilities,PR.AT-05
Protect - Data Security,Data at Rest Protection,Data-at-rest is protected through encryption and other appropriate mechanisms,PR.DS-01
Protect - Data Security,Data in Transit Protection,Data-in-transit is protected through encryption and other appropriate mechanisms,PR.DS-02
Protect - Data Security,Formal Asset Management,Assets are formally managed throughout removal retirement and disposal,PR.DS-03
Protect - Data Security,Adequate Capacity,Adequate capacity to ensure availability is maintained,PR.DS-04
Protect - Data Security,Leak Protection,Protections against data leaks are implemented,PR.DS-05
Protect - Data Security,Integrity Checking,Integrity checking mechanisms are used to verify software firmware and data integrity,PR.DS-06
Protect - Data Security,Development Environment Separation,Development and testing environments are separated from production,PR.DS-07
